candidate_name,life_stage,year_or_period,role_or_event,institution,sector,achievement,evidence,citation,impact_category,impact_score
Dr. Jamilu Isyaku Gwamna,Current relevance,2024-2026,Public figure associated with utility leadership and Gombe civic philanthropy,KEDCO / Gombe civic space,Current relevance,"Recent app evidence base still identifies him through private-sector utility leadership, political engagement and community-service reporting.",Current relevance is contextual until newer verified public records are added.,SRC007,Long-term impact,45
Hon. Saidu Ahmed Alkali,Early background,1969,"Born in Gombe State, Nigeria",Gombe State,Personal background,"Official transportation ministry profile states that Sai'du Ahmed Alkali was born on February 12, 1969, in Gombe State.",No childhood or family-community narrative is included beyond verified public profile information.,SRC013,Background context,20
Hon. Saidu Ahmed Alkali,Early background,Family background publicly reported,Parent identified in secondary public records,Gombe State,Family/community background,Secondary public profiles list Khadi Ahmed Saidu Alkali as his parent.,This is included cautiously as public biographical context because an official family-source record was not located.,SRC012,Background context,12
Hon. Saidu Ahmed Alkali,Education,Early schooling period,Community schooling reported,Gombe community schools,Education,A secondary biographical profile reports that Alkali schooled in his community before university.,This is displayed as secondary-source context and kept at a lower impact score until primary education records are located.,SRC033,Education,28
Hon. Saidu Ahmed Alkali,Education,Period not specified,Economics degree reported,University of Maiduguri,Education,A secondary biographical profile reports that Alkali attended the University of Maiduguri and graduated with a degree in Economics.,Education is flagged as secondary-source verified because the official ministry profile does not provide a detailed education timeline.,SRC033,Education,42
Hon. Saidu Ahmed Alkali,Early career,Before 2010,Secretary,"Muslim Pilgrims Welfare Board, Gombe State",Public-sector leadership,Official profile records early public service as Secretary of the Muslim Pilgrims Welfare Board.,This marks entry into public-sector administration before elective office.,SRC013,Institutional leadership,55
Hon. Saidu Ahmed Alkali,Professional growth,Before 2010,Commissioner of Information,Gombe State Executive Council,Public-sector leadership,Official profile records service as Commissioner of Information in Gombe State.,The role is included as state-level executive experience; project claims require separate evidence rows.,SRC013,Public-sector leadership,62
Hon. Saidu Ahmed Alkali,Major leadership roles,2010-2011,Senator for Gombe North after by-election,National Assembly,Political leadership,Official profile records that he secured the Gombe North senatorial seat after the 2010 by-election.,This is office-history evidence and not treated as a performance outcome by itself.,SRC013,Political leadership,60
Hon. Saidu Ahmed Alkali,Major leadership roles,2011-2015,Re-elected Senator for Gombe North,National Assembly,Political leadership,Official profile records continued service after the 2011 general election.,"Legislative impact requires bill, committee and constituency-project evidence before stronger scoring.",SRC013,Political leadership,62
Hon. Saidu Ahmed Alkali,Major leadership roles,2019-2023,Senator for Gombe North under APC,National Assembly,Political leadership,Official profile records re-election in 2019 as a member of the All Progressives Congress.,This row records public office continuity without campaign messaging or voter persuasion.,SRC013,Political leadership,62
Hon. Saidu Ahmed Alkali,Major leadership roles,2023-present,Minister of Transportation,Federal Ministry of Transportation,Ministerial role,"Official profile records appointment as Minister of Transportation on August 16, 2023.","Ministerial impact is assessed through transport policy, rail, logistics and accountability evidence rows.",SRC013,Ministerial leadership,75
Hon. Saidu Ahmed Alkali,Major achievements,2024,Kano-Maradi and Kaduna-Kano rail project inspections,Federal Ministry of Transportation,Infrastructure,The ministry reported inspections of Kano-Maradi and Kaduna-Kano rail works and assurance on the 387km Kano-Daura segment.,The row captures project oversight and stated targets; completion and value-for-money require further project records.,SRC016,Infrastructure development,82
Hon. Saidu Ahmed Alkali,Major achievements,2024,Performance bond and KPI cascade,Federal Ministry of Transportation and agencies,Governance reform,The ministry reported a performance bond with directors and agency heads to cascade KPIs and annual appraisal.,This is an accountability mechanism; implementation outcomes should be monitored over time.,SRC014,Governance efficiency,76
Hon. Saidu Ahmed Alkali,Major achievements,2025,National Land Transport Policy approval,Federal Ministry of Transportation / Federal Executive Council,Policy reform,Government information reporting stated the first National Land Transport Policy had been validated and approved by the Federal Executive Council.,This is a major policy milestone; measurable impact depends on implementation and sector outcome tracking.,SRC017,Policy reform,84
Hon. Saidu Ahmed Alkali,Criticisms and controversies,2023-2025,Rail implementation delays and public allegations,Railway project corridors,Public controversy,Journalism reported contractor criticism over delayed railway work and a ministry denial of allegations that a railway project was diverted.,The allegation is not treated as proven; the dataset records both public criticism and official response.,SRC019,Public perception,0
Hon. Saidu Ahmed Alkali,Public impact,2025-2026,Budget-release constraint and private financing context,Federal Ministry of Transportation,Economic governance,"TheCable reported the minister saying only about one percent of the 2025 capital budget had been released, while a legislative committee cited about $200m in private-sector commitments.","This is treated as policy-context evidence and funding constraint, not a personal performance failure.",SRC018,Economic contribution,55
Hon. Saidu Ahmed Alkali,Current relevance,2024-2026,"Transport reform, accessibility and rail-service oversight",Federal Ministry of Transportation / NRC,Current relevance,"Ministry press material records station inspections covering vandalism, accessibility and passenger welfare concerns.",Current relevance is tied to ongoing transport service delivery and institutional supervision.,SRC027,Public impact,64
Prof. Isa Ali Ibrahim Pantami,Early background,1972,"Born in Pantami, Gombe State, Nigeria","Pantami community, Gombe State",Personal background,Publicly available profiles identify his birthplace as Pantami in Gombe State.,"Official and biographical profiles record Pantami as born in Pantami, Gombe State; no independently verified childhood narrative is included in this dataset.",SRC023,Background context,20
Prof. Isa Ali Ibrahim Pantami,Early background,1972,Family background publicly reported,"Pantami community, Gombe State",Family/community background,Daily Trust reported that Pantami was born to Malama Amina Umar Aliyu and Malam Ali Ibrahim Pantami.,This personal-background row is included because it is publicly reported by a reputable newspaper; no private family details beyond the public report are added.,SRC032,Background context,25
Prof. Isa Ali Ibrahim Pantami,Education,Childhood-1980s,Qur'anic and primary education,Tsangaya School; Pantami Primary School,Education,Daily Trust reported that Pantami started with Tsangaya Qur'anic education and later attended Pantami Primary School.,This gives users early-life context without inventing unsupported childhood narrative.,SRC032,Education,45
Prof. Isa Ali Ibrahim Pantami,Education,2003-2008,Computer science university qualifications,Abubakar Tafawa Balewa University,Education,Daily Trust and his public biography report a BTech in Computer Science in 2003 and a master's degree in 2008 from ATBU.,"Education history is treated as verified biographical context, not a governance outcome by itself.",SRC032,Education,62
Prof. Isa Ali Ibrahim Pantami,Education,Post-2008,Doctoral qualification,"Robert Gordon University, Aberdeen",Education,Public profiles report that Pantami obtained a PhD from Robert Gordon University in Scotland.,The dataset records the qualification and avoids broader claims about merit beyond the source.,SRC023,Education,66
Prof. Isa Ali Ibrahim Pantami,Education,Secondary school period,Secondary education,"Government Science Secondary School, Gombe",Education,"Daily Trust reported that Pantami obtained his SSCE from Government Science Secondary School, Gombe.","This is treated as education-history context, not a governance performance outcome.",SRC032,Education,50
Prof. Isa Ali Ibrahim Pantami,Early career,2000s-2014,Lecturer and academic in information technology,Abubakar Tafawa Balewa University,Academic leadership,Taught undergraduate and postgraduate information technology courses for more than a decade according to his public biography.,This supports academic and professional formation before national public office.,SRC023,Professional development,62
Prof. Isa Ali Ibrahim Pantami,Professional growth,2014-2016,Academic role in computing and information systems,Islamic University of Madinah,Academic leadership,Public biography records an international academic role before his appointment to NITDA.,The role is included as professional experience; this dataset does not infer institutional impact without independent metrics.,SRC023,Professional development,58
Prof. Isa Ali Ibrahim Pantami,Major leadership roles,2016-2019,Director-General / CEO,National Information Technology Development Agency,Public-sector leadership,Appointed to lead NITDA in 2016.,The appointment is documented in contemporary public reporting; performance impacts are scored only where evidence rows exist in the evidence ledger.,SRC024,Institutional leadership,70
Prof. Isa Ali Ibrahim Pantami,Major leadership roles,2019-2023,Minister of Communications and Digital Economy,Federal Ministry of Communications and Digital Economy,Ministerial role,Served as minister after the communications portfolio was expanded to digital economy.,"Official achievement documents and policy papers connect this period with digital economy policy, broadband and identity-management programmes.",SRC001,Public-sector leadership,75
Prof. Isa Ali Ibrahim Pantami,Major achievements,2019-2021,Digital skills and ICT access programmes,Federal Ministry of Communications and Digital Economy / USPF,Policy and projects,USPF-linked achievement material reported more than 219000 direct digital-skills beneficiaries and 1667 ICT centres/projects established.,"These are government-reported outputs and should be read as programme indicators, not audited personal-only achievements.",SRC001,Service delivery,82
Prof. Isa Ali Ibrahim Pantami,Major achievements,2020-2030 policy period,National Digital Economy Policy and Strategy,Federal Ministry of Communications and Digital Economy,Policy reform,The National Digital Economy Policy and Strategy set an eight-pillar framework for Nigeria's digital economy agenda.,Policy existence is verifiable; implementation impact is evaluated through separate evidence rows and measurable indicators.,SRC010,Policy reform,78
Prof. Isa Ali Ibrahim Pantami,Public impact,2021,ICT sector GDP and broadband indicators,NCC / communications sector,Economic and infrastructure outcomes,NCC-linked reporting stated ICT contributed 14.42 percent to GDP in Q2 2021 and broadband penetration reached 40.01 percent by September 2021.,"The dataset attributes these as sector outcomes under a multi-actor regulatory and market ecosystem, not sole-person causation.",SRC003,Economic contribution,84
Prof. Isa Ali Ibrahim Pantami,Criticisms and controversies,2021,Professorship appointment controversy and review,Federal University of Technology Owerri / ASUU discourse,Academic controversy,Media reporting described public debate over his FUTO professorial appointment and later reporting on an ASUU panel review.,The row is included for balanced lifecycle analysis; it is not scored as a governance achievement.,SRC026,Public perception,0
Prof. Isa Ali Ibrahim Pantami,Criticisms and controversies,2021,Public controversy over past extremist comments,Public media and civic debate,Public controversy,Reputable journalism reported controversy over past comments attributed to Pantami and reported that he renounced or apologized for earlier views.,This row records the controversy as reported public perception; it does not present allegations as proven criminal conduct.,SRC025,Public perception,0
Prof. Isa Ali Ibrahim Pantami,Current relevance,2024-2026,"Author, public speaker and digital policy figure",Public policy and technology discourse,Current relevance,"Public profiles and reporting continue to identify Pantami with digital economy, cybersecurity and public-policy debates.",Current relevance is treated as contextual because post-ministerial outcomes require fresh source verification before scoring.,SRC023,Long-term impact,52
